,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students with and without disabilities receiving disciplinary actions by gender and race/ethnicity, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Discipline,Gender,Students With and Without Disabilities,,Students With Disabilities Served Only Under Section 504,,Students Without Disabilities and With Disabilities Served Under IDEA,,Race/Ethnicity of Students Without Disabilities and Those With Disabilities Served Under IDEA1,,,,,,,,,,,,,,English Language Learners With and Without Disabilities,,Number of Schoolsa,Percent of Schools Reporting 
,,,,,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,
,,,,Number,Percent2,Number,Percent2,Number,Percent2,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent2,,
Disciplinary Actions,North Dakota,,Male,40 ,67.8 ,1-3 ,3.4 ,38 ,64.4 ,8 ,14.0 ,0 ,0.0 ,1-3 ,3.5 ,1-3 ,3.5 ,26 ,45.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,Corporal punishment,Female,19 ,32.2 ,0 ,0.0 ,19 ,32.2 ,7 ,12.3 ,0 ,0.0 ,1-3 ,3.5 ,0 ,0.0 ,10 ,17.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,59 ,100.0 ,1-3 ,3.4 ,57 ,96.6 ,15 ,26.3 ,0 ,0.0 ,4 ,7.0 ,1-3 ,3.5 ,36 ,63.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,"2,025 ",71.8 ,27 ,1.0 ,"1,998 ",70.9 ,450 ,16.1 ,13 ,0.5 ,56 ,2.0 ,108 ,3.9 ,"1,364 ",48.9 ,5 ,0.2 ,1-3 ,0.1 ,118 ,4.2 ,468,99.6 
Disciplinary Actions,North Dakota,One or more in-school suspensions,Female,794 ,28.2 ,1-3 ,0.1 ,792 ,28.1 ,271 ,9.7 ,1-3 ,0.1 ,23 ,0.8 ,31 ,1.1 ,465 ,16.7 ,0 ,0.0 ,0 ,0.0 ,55 ,2.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,"2,819 ",100.0 ,29 ,1.0 ,"2,790 ",99.0 ,721 ,25.8 ,15 ,0.5 ,79 ,2.8 ,139 ,5.0 ,"1,829 ",65.6 ,5 ,0.2 ,1-3 ,0.1 ,173 ,6.1 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,921 ,70.1 ,7 ,0.5 ,914 ,69.6 ,254 ,19.5 ,4 ,0.3 ,28 ,2.1 ,45 ,3.4 ,579 ,44.4 ,1-3 ,0.2 ,1-3 ,0.2 ,52 ,4.0 ,468,99.6 
Disciplinary Actions,North Dakota,Only one out-of-school suspension,Female,393 ,29.9 ,1-3 ,0.2 ,391 ,29.8 ,152 ,11.6 ,0 ,0.0 ,10 ,0.8 ,11 ,0.8 ,214 ,16.4 ,4 ,0.3 ,0 ,0.0 ,29 ,2.2 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,"1,314 ",100.0 ,9 ,0.7 ,"1,305 ",99.3 ,406 ,31.1 ,4 ,0.3 ,38 ,2.9 ,56 ,4.3 ,793 ,60.8 ,6 ,0.5 ,1-3 ,0.2 ,81 ,6.2 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,470 ,73.8 ,4 ,0.6 ,466 ,73.2 ,150 ,23.8 ,1-3 ,0.3 ,21 ,3.3 ,23 ,3.6 ,266 ,42.2 ,1-3 ,0.3 ,1-3 ,0.3 ,22 ,3.5 ,468,99.6 
Disciplinary Actions,North Dakota,More than one out-of-school suspension,Female,167 ,26.2 ,1-3 ,0.3 ,165 ,25.9 ,87 ,13.8 ,0 ,0.0 ,6 ,1.0 ,4 ,0.6 ,66 ,10.5 ,1-3 ,0.3 ,0 ,0.0 ,10 ,1.6 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,637 ,100.0 ,6 ,0.9 ,631 ,99.1 ,237 ,37.6 ,1-3 ,0.3 ,27 ,4.3 ,27 ,4.3 ,332 ,52.6 ,4 ,0.6 ,1-3 ,0.3 ,32 ,5.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,"1,389 ",71.2 ,11 ,0.6 ,"1,378 ",70.6 ,407 ,21.0 ,5 ,0.3 ,51 ,2.6 ,71 ,3.7 ,838 ,43.3 ,4 ,0.2 ,1-3 ,0.1 ,75 ,3.8 ,468,99.6 
Disciplinary Actions,North Dakota,One or more out-of-school suspensions,Female,562 ,28.8 ,6 ,0.3 ,556 ,28.5 ,243 ,12.6 ,0 ,0.0 ,15 ,0.8 ,15 ,0.8 ,279 ,14.4 ,4 ,0.2 ,0 ,0.0 ,39 ,2.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,"1,951 ",100.0 ,17 ,0.9 ,"1,934 ",99.1 ,650 ,33.6 ,5 ,0.3 ,66 ,3.4 ,86 ,4.4 ,"1,117 ",57.8 ,8 ,0.4 ,1-3 ,0.1 ,114 ,5.8 ,468,99.6 
Disciplinary Actions,North Dakota,,Male,25 ,86.2 ,0 ,0.0 ,25 ,86.2 ,7 ,24.1 ,0 ,0.0 ,0 ,0.0 ,1-3 ,6.9 ,16 ,55.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,Expulsions with educational services,Female,4 ,13.8 ,0 ,0.0 ,4 ,13.8 ,1-3 ,6.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,6.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
Disciplinary Actions,North Dakota,,Total,29 ,100.0 ,0 ,0.0 ,29 ,100.0 ,9 ,31.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,6.9 ,18 ,62.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,468,99.6 
